Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,62449,756,SAINT Transformer,Accuracy,0.17847838270616492,0.17157526020816652,0.18518815052041634,0.1785 (0.1716 - 0.1852)
Texas Cohort,62449,756,SAINT Transformer,Precision,0.15074776980077975,0.1452244208377475,0.15773322148435656,0.1507 (0.1452 - 0.1577)
Texas Cohort,62449,756,SAINT Transformer,Recall_Sensitivity,0.9888954718146615,0.9843408294903975,0.9936025222420568,0.9889 (0.9843 - 0.9936)
Texas Cohort,62449,756,SAINT Transformer,Specificity,0.03862996598058917,0.035190274047575285,0.042098272388752946,0.0386 (0.0352 - 0.0421)
Texas Cohort,62449,756,SAINT Transformer,Brier_Score,0.4502784857033613,0.4463821266219849,0.45386071352413565,0.4503 (0.4464 - 0.4539)
Texas Cohort,62449,756,HIR-M3 Transformer,ROC_AUC,0.6578649453653606,0.6446665965773125,0.6714055428159481,0.6579 (0.6447 - 0.6714)
Texas Cohort,62449,756,HIR-M3 Transformer,PR_AUC,0.2800506890430401,0.2601130421659234,0.3010125758095801,0.2801 (0.2601 - 0.3010)
Texas Cohort,62449,756,HIR-M3 Transformer,F1_Score,0.32103792774960593,0.306688515135838,0.33941939244263003,0.3210 (0.3067 - 0.3394)
Texas Cohort,62449,756,HIR-M3 Transformer,Accuracy,0.6808678943154525,0.6736489191353082,0.6888430744595676,0.6809 (0.6736 - 0.6888)
Texas Cohort,62449,756,HIR-M3 Transformer,Precision,0.23370960505016464,0.22239365290948232,0.24729667635574912,0.2337 (0.2224 - 0.2473)
Texas Cohort,62449,756,HIR-M3 Transformer,Recall_Sensitivity,0.5127466936028996,0.490572358229809,0.5372396838142512,0.5127 (0.4906 - 0.5372)
Texas Cohort,62449,756,HIR-M3 Transformer,Specificity,0.7098780844184935,0.7026312220386469,0.7197504476613173,0.7099 (0.7026 - 0.7198)
Texas Cohort,62449,756,HIR-M3 Transformer,Brier_Score,0.22440680236389807,0.22230743656391136,0.2262874059787996,0.2244 (0.2223 - 0.2263)
