Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope,Subgroup,Source_File
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),LightGBM baseline,0.2815,0.7301,0.6349,0.6758,0.6493,0.5598,0.8522,842,654,662,146,0.3299595141700405,0.4642857142857143,0.1414157591287636,0.1628787878787878,0.1414157591287636,0.1521472735037757,1.0,,,0.0103375500399901,0.2171,0.5107,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),LightGBM with ACT-parity,0.2195,0.7242,0.6294,0.6757,0.6345,0.5454,0.8877,877,585,731,111,0.3491902834008097,0.4285714285714285,0.096732863549007,0.2746212121212121,0.096732863549007,0.1856770378351095,1.0,,,0.0493980738230945,0.2225,0.4754,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost baseline,0.2739,0.7302,0.6371,0.6752,0.6259,0.5378,0.9069,896,546,770,92,0.2904858299595141,0.3928571428571428,0.141736066623959,0.1978794877178248,0.141736066623959,0.1698077771708919,1.0,,,0.0211423526588157,0.2099,0.7034,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost with ACT-parity,0.3615,0.729,0.639,0.6753,0.6528,0.5637,0.8421,832,672,644,156,0.305668016194332,0.4285714285714285,0.1347252747252746,0.4356060606060606,0.1347252747252746,0.2851656676656676,1.0,,,0.0140136113166231,0.2122,0.6746,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer,0.451,0.5284,0.4489,0.6008,0.4301,0.4294,1.0,988,3,1313,0,0.0657894736842105,0.1428571428571428,0.0940766550522648,0.0769230769230768,0.0940766550522648,0.0854998659876708,1.0,,,0.0,0.2513,1.2027,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer with ACT-parity,0.2159,0.5207,0.4414,0.6008,0.4301,0.4294,1.0,988,3,1313,0,0.958502024291498,0.9878048780487804,0.0949477351916375,0.0416666666666666,0.0949477351916375,0.0683072009291521,1.0,,,0.0545730472091614,0.2455,0.4524,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.2965,0.7303,0.6368,0.6755,0.6259,0.5378,0.9079,897,545,771,91,0.2904858299595141,0.3928571428571428,0.141736066623959,0.1978794877178248,0.141736066623959,0.1698077771708919,1.0,,90:10,0.0211423526588157,0.208,0.8631,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.3856,0.7291,0.6391,0.6752,0.6597,0.5715,0.8249,815,705,611,173,0.3228744939271255,0.4642857142857143,0.151978021978022,0.4356060606060606,0.151978021978022,0.2937920412920413,1.0,,90:10,0.0152707498176626,0.2089,0.8155,Diabetes + Heart Failure + Hypertension,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv
Nationwide,Diabetes + Heart Failure (d+hf),LightGBM with ACT-parity,0.2702,0.7185,0.6165,0.6546,0.6223,0.5299,0.8559,1045,772,927,176,0.3472563472563472,0.3564356435643564,0.0457973456920159,0.2541125541125541,0.0457973456920159,0.149954949902285,1.0,,,0.0084131467815268,0.2209,0.5064,Diabetes + Heart Failure,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv
Nationwide,Diabetes + Heart Failure (d+hf),LightGBM baseline,0.3215,0.7188,0.6128,0.6669,0.6425,0.5463,0.8559,1045,831,868,176,0.3538083538083538,0.3696682464454976,0.1627716947213597,0.3392857142857143,0.1627716947213597,0.251028704503537,1.0,,,0.0142106487019665,0.2185,0.5402,Diabetes + Heart Failure,parity_Nationwide_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv
