Standardized Model Name,Nationwide Model Name,Texas Model Name,Nationwide Ensemble Ratio,Texas Ensemble Ratio,Metric,Direction,Nationwide Value,Texas Value,Transportability Gap,Worst-Cohort Value,Comparison Available,Notes
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,Equalized_Odds_Difference_EOD,Lower is better,0.3136,0.0,0.3136,0.3136,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,Fairness-Performance Stability Area,Higher is better,0.0,0.0,0.0,0.0,True,Matched cross-cohort family comparison
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,ROC_AUC,Higher is better,0.8256,0.8147,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,PR_AUC,Higher is better,0.4237,0.454,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,F1_Score,Higher is better,0.4492,0.4665,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,Brier_Score,Lower is better,0.1647,0.1707,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,Precision,Higher is better,0.3616,0.3682,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,Recall,Higher is better,0.5927,0.6362,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,Specificity,Higher is better,,,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,FNR_Gap_DGAP,Lower is better,0.3785,0.1728,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
