Analysis_Cohort,Analysis_Subgroup,Source_File,Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer,0.4831,0.4619,0.4583,0.6738,0.5081,0.5081,1.0,94,0,91,0,0.0212765957446808,0.037037037037037,0.037037037037037,0.0227272727272727,0.037037037037037,0.0298821548821548,1.0,,,0.0009676343203662,0.2528,-3.1944
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer with ACT-parity,0.4658,0.5352,0.548,0.6818,0.5459,0.5294,0.9574,90,11,80,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.251,5.5787
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4141,0.6865,0.6563,0.7243,0.6378,0.5906,0.9362,88,30,61,6,0.2978723404255319,0.4,0.15,0.1079545454545454,0.15,0.1289772727272727,1.0,,30:70,0.0,0.2292,1.4377
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.3563,0.6809,0.6534,0.7206,0.627,0.5817,0.9468,89,27,64,5,0.3936170212765957,0.5,0.2,0.1590909090909091,0.2,0.1795454545454545,1.0,,30:70,0.0,0.2303,1.5355
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),CatBoost with ACT-parity,0.305,0.7681,0.7353,0.7326,0.7008,0.641,0.8547,100,71,56,17,0.3247863247863248,0.4117647058823529,0.1784313725490195,0.1264367816091954,0.1784313725490195,0.1524340770791075,1.0,,,0.1001920099646099,0.1988,0.7512
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),CatBoost baseline,0.2945,0.781,0.7394,0.7609,0.7295,0.6604,0.8974,105,73,54,12,0.2991452991452991,0.3235294117647059,0.0901960784313725,0.1072124756335282,0.0901960784313725,0.0987042770324504,1.0,,,0.0227705027263449,0.1949,0.6598
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost with ACT-parity,0.4685,0.7983,0.7527,0.7419,0.7377,0.7023,0.7863,92,88,39,25,0.2478632478632478,0.28,0.08,0.2203065134099616,0.08,0.1501532567049808,1.0,,,0.0312781291102004,0.192,0.5707
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost baseline,0.2979,0.7812,0.7432,0.738,0.709,0.6494,0.8547,100,73,54,17,0.2649572649572649,0.3,0.0999999999999999,0.185823754789272,0.0999999999999999,0.1429118773946359,1.0,,,0.033023041741266,0.2062,0.4528
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer,0.5288,0.4505,0.4597,0.6518,0.4877,0.4835,1.0,117,2,125,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.2639,-1.5211
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer with ACT-parity,0.491,0.524,0.5172,0.6482,0.4795,0.4795,1.0,117,0,127,0,0.5726495726495726,0.6333333333333333,0.1627450980392156,0.2027290448343079,0.1627450980392156,0.1827370714367618,1.0,,,0.0565843766934012,0.2497,3.239
