Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope,Incremental Ensemble Value for ROC AUC,Incremental Ensemble Value for PR AUC,Incremental Ensemble Value for F1 Score,Incremental Ensemble Value for Brier Score,Incremental Ensemble Value for ACT-Parity Gap,Incremental Ensemble Value for FNR Gap,Incremental Ensemble Value for FPR Gap,Transportability Gap for ROC AUC,Transportability Gap for PR AUC,Transportability Gap for Brier Score,Transportability Gap for ACT-Parity Gap,Transportability Gap for FNR Gap,Transportability Gap for FPR Gap,Transportability Gap for FPSA
Nationwide Cohort,Rural,XGBoost + HIR-M3 Ensemble (90:10),0.6219,0.8241,0.4158,0.4496,0.8132,0.3623,0.5925,5179,50005,9116,3562,0.24116233840521678,0.5333333333333333,0.3234159779614325,0.0770964900712777,0.3234159779614325,0.20025623401635512,1.0,,90:10,0.0763207019566419,0.1687,1.1304,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Rural,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.6023,0.8136,0.3962,0.4359,0.8106,0.3536,0.5681,4966,50044,9077,3775,0.28635167600960987,0.7333333333333333,0.46556473829201095,0.1535753517505726,0.46556473829201095,0.30957004502129176,1.0,,90:10,0.19282665566174828,0.1558,1.0678,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Diabetes (d),LightGBM with ACT-parity,0.4562,0.7803,0.5342,0.5355,0.7189,0.4389,0.6867,1317,4527,1684,601,0.37174139728884253,0.7380952380952381,0.4163359788359789,0.16243797534749538,0.4163359788359789,0.2893869770917371,1.0,,N/A,0.548252007174002,0.1702,0.7489,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes (d),XGBoost with ACT-parity,0.4951,0.7835,0.5279,0.541,0.7232,0.4444,0.6913,1326,4553,1658,592,0.3164754953076121,0.7142857142857143,0.42724867724867727,0.23640227703984817,0.42724867724867727,0.3318254771442627,1.0,,N/A,0.46139647372183645,0.1783,0.843,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Diabetes (d),XGBoost baseline,0.458,0.7847,0.5278,0.5352,0.7011,0.4227,0.7294,1399,4300,1911,519,0.32533889468196037,0.5238095238095238,0.22570654277971353,0.13920737327188942,0.22570654277971353,0.18245695802580147,1.0,,N/A,0.23377576073298864,0.1754,0.9141,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Diabetes (d),LightGBM baseline,0.4153,0.7807,0.5195,0.5304,0.7021,0.4222,0.7132,1368,4339,1872,550,0.40041710114702816,0.6428571428571429,0.25628306878306883,0.08648956356736243,0.25628306878306883,0.17138631617521563,1.0,,N/A,0.40200492302394664,0.1671,0.7865,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes (d),HIR-M3 Transformer,0.4847,0.5461,0.2646,0.3818,0.2359,0.2359,1.0,1918,0,6211,0,0.6178310740354536,0.715,0.13243827160493826,0.20604608294930876,0.13243827160493826,0.1692421772771235,1.0,,N/A,0.13213490578597661,0.2497,10.2613,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Diabetes (d),HIR-M3 Transformer with ACT-parity,0.1567,0.5126,0.2509,0.3821,0.2375,0.2362,0.999,1916,15,6196,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1926,0.1227,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (90:10),0.4671,0.7847,0.5278,0.5354,0.7039,0.4251,0.7231,1387,4335,1876,531,0.32533889468196037,0.5238095238095238,0.22570654277971353,0.13920737327188942,0.22570654277971353,0.18245695802580147,1.0,,90:10,0.23377576073298864,0.1759,1.1002,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.49,0.7831,0.5288,0.5402,0.7281,0.4494,0.6767,1298,4621,1590,620,0.3415015641293014,0.7380952380952381,0.42713844797178135,0.21601518026565464,0.42713844797178135,0.32157681411871797,1.0,,90:10,0.5263069516492569,0.1728,1.0081,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Heart Failure (hf),LightGBM baseline,0.4243,0.781,0.595,0.6177,0.6949,0.5137,0.7744,1555,2829,1472,453,0.31623505976095617,0.34579439252336447,0.06710586793320056,0.4,0.06710586793320056,0.2335529339666003,1.0,,N/A,0.03213614683942743,0.1819,0.8006,,,,,,,,,,,,,,
Nationwide Cohort,Heart Failure (hf),LightGBM with ACT-parity,0.3821,0.7704,0.5829,0.6127,0.6748,0.4933,0.8083,1623,2634,1667,385,0.31772908366533864,0.5277777777777778,0.23479645131287114,0.3087827426810478,0.23479645131287114,0.2717895969969595,1.0,,N/A,0.21555807916472636,0.1894,0.7015,,,,,,,,,,,,,,
Nationwide Cohort,Heart Failure (hf),XGBoost with ACT-parity,0.4864,0.7747,0.5824,0.6138,0.6982,0.5178,0.7535,1513,2892,1409,495,0.26643426294820716,0.4444444444444444,0.19653716820490805,0.3340523882896764,0.19653716820490805,0.26529477824729225,1.0,,N/A,0.15205468852039178,0.1906,0.8276,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Heart Failure (hf),XGBoost baseline,0.457,0.7843,0.6051,0.6175,0.6895,0.5079,0.7874,1581,2769,1532,427,0.25796812749003983,0.3333333333333333,0.1169398907103825,0.4,0.1169398907103825,0.25846994535519124,1.0,,N/A,0.06281489554647673,0.1859,0.9383,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Heart Failure (hf),HIR-M3 Transformer,0.4822,0.5206,0.3368,0.483,0.3189,0.3184,0.9995,2007,5,4296,1,0.10358565737051793,0.10946555054732775,0.0440449897996642,0.6923076923076923,0.0440449897996642,0.36817634105367825,1.0,,N/A,0.0007951651381706796,0.2509,2.3962,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Heart Failure (hf),HIR-M3 Transformer with ACT-parity,0.2633,0.5134,0.328,0.4834,0.3226,0.3192,0.996,2000,35,4266,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2178,0.3538,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (90:10),0.4724,0.7843,0.6051,0.6174,0.6928,0.5114,0.7789,1564,2807,1494,444,0.25747011952191234,0.3333333333333333,0.1169398907103825,0.4,0.1169398907103825,0.25846994535519124,1.0,,90:10,0.06316327478345335,0.1859,1.1232,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4324,0.7747,0.5828,0.614,0.6811,0.4994,0.7968,1600,2697,1604,408,0.2898406374501992,0.5,0.22891178364455894,0.31864406779661014,0.22891178364455894,0.27377792572058457,1.0,,90:10,0.19785469503471118,0.186,0.9887,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Hypertension (hyp),LightGBM baseline,0.4921,0.7903,0.5188,0.5404,0.7266,0.4452,0.6875,2119,7461,2641,963,0.3254380272550292,0.5584415584415584,0.40459540459540455,0.15998140998140997,0.40459540459540455,0.28228840728840726,1.0,,N/A,0.2932374884537124,0.1713,0.8636,,,,,,,,,,,,,,
Nationwide Cohort,Hypertension (hyp),XGBoost with ACT-parity,0.521,0.7825,0.5062,0.5304,0.7187,0.4349,0.6798,2095,7380,2722,987,0.2991563919532771,0.6883116883116883,0.41574453727690186,0.31402831402831405,0.41574453727690186,0.364886425652608,1.0,,N/A,0.3857399569126166,0.1836,0.861,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Hypertension (hyp),LightGBM with ACT-parity,0.4567,0.7793,0.5052,0.5284,0.6976,0.4158,0.7249,2234,6963,3139,848,0.3293316028552888,0.8441558441558441,0.5641030039973236,0.30416130416130416,0.5641030039973236,0.4341321540793139,1.0,,N/A,0.5949468066432748,0.1793,0.7663,,,,,,,,,,,,,,
Nationwide Cohort,Hypertension (hyp),XGBoost baseline,0.5482,0.795,0.5264,0.5448,0.7435,0.4655,0.6567,2024,7778,2324,1058,0.27579493835171964,0.42857142857142855,0.19780219780219777,0.2380952380952381,0.19780219780219777,0.21794871794871795,1.0,,N/A,0.14739191359419768,0.1777,0.967,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Hypertension (hyp),HIR-M3 Transformer,0.439,0.5784,0.2878,0.3908,0.4192,0.2589,0.7969,2456,3071,7031,626,0.4591174561972745,0.7128205128205128,0.2856958981133354,0.2728870605833956,0.2856958981133354,0.2792914793483655,1.0,,N/A,0.21787671606383907,0.2419,0.8749,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Hypertension (hyp),HIR-M3 Transformer with ACT-parity,0.1534,0.5236,0.2531,0.3791,0.2346,0.2339,0.9997,3081,12,10090,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1801,0.2761,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (90:10),0.5336,0.7948,0.526,0.545,0.7371,0.4577,0.6736,2076,7642,2460,1006,0.2774172615184945,0.4155844155844156,0.18481518481518483,0.2380952380952381,0.18481518481518483,0.21145521145521146,1.0,,90:10,0.13380934746618128,0.1778,1.1386,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4872,0.7826,0.5069,0.5301,0.715,0.4312,0.6879,2120,7306,2796,962,0.33257624918883844,0.7272727272727273,0.425203154397342,0.2852852852852853,0.425203154397342,0.35524421984131366,1.0,,90:10,0.47396041513515735,0.1747,1.0172,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Diabetes + Heart Failure (d+hf),LightGBM with ACT-parity,0.2702,0.7185,0.6165,0.6546,0.6223,0.5299,0.8559,1045,772,927,176,0.34725634725634724,0.3564356435643564,0.04579734569201599,0.2541125541125541,0.04579734569201599,0.14995494990228506,1.0,,N/A,0.008413146781526847,0.2209,0.5064,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes + Heart Failure (d+hf),LightGBM baseline,0.3215,0.7188,0.6128,0.6669,0.6425,0.5463,0.8559,1045,831,868,176,0.3538083538083538,0.3696682464454976,0.1627716947213597,0.3392857142857143,0.1627716947213597,0.251028704503537,1.0,,N/A,0.01421064870196655,0.2185,0.5402,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes + Heart Failure (d+hf),XGBoost with ACT-parity,0.3308,0.7225,0.6228,0.6589,0.6271,0.5335,0.8616,1052,779,920,169,0.30548730548730546,0.31683168316831684,0.04449125763640194,0.75,0.04449125763640194,0.39724562881820097,1.0,,N/A,0.008848330615792956,0.2137,0.6653,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Diabetes + Heart Failure (d+hf),XGBoost baseline,0.331,0.7255,0.6148,0.672,0.6349,0.5382,0.8943,1092,762,937,129,0.2800982800982801,0.2938388625592417,0.05245955221441409,0.5353773584905661,0.05245955221441409,0.2939184553524901,1.0,,N/A,0.010370450345392678,0.2109,0.7347,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer,0.4816,0.5334,0.4541,0.59,0.4188,0.4184,1.0,1221,2,1697,0,0.9983619983619983,1.0,0.0023696682464454666,0.018867924528301886,0.0023696682464454666,0.010618796387373676,1.0,,N/A,0.0032789344284209414,0.2481,20.2216,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer with ACT-parity,0.3231,0.5308,0.4545,0.5897,0.4182,0.4182,1.0,1221,0,1699,0,0.9926289926289926,1.0,0.00990099009900991,0.0017406440382941688,0.00990099009900991,0.00582081706865204,1.0,,N/A,0.006242784059884383,0.2443,1.3652,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (90:10),0.3447,0.7255,0.6149,0.6722,0.6346,0.5379,0.896,1094,759,940,127,0.2833742833742834,0.2985781990521327,0.05719888870730508,0.5353773584905661,0.05719888870730508,0.2962881235989356,1.0,,90:10,0.011612710336589402,0.209,0.8949,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.3333,0.7229,0.6234,0.6594,0.6271,0.5334,0.8632,1054,777,922,167,0.32432432432432434,0.3448275862068966,0.05121056493030085,0.75,0.05121056493030085,0.4006052824651504,1.0,,90:10,0.003208955291001733,0.21,0.8102,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Diabetes + Hypertension (d+hyp),LightGBM with ACT-parity,0.3537,0.7658,0.5838,0.5967,0.6617,0.479,0.7911,1526,2510,1660,403,0.37947122861586313,0.6712328767123288,0.3208737386436935,0.2901353965183752,0.3208737386436935,0.3055045675810344,1.0,,N/A,0.35283884697547824,0.1883,0.6993,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes + Hypertension (d+hyp),LightGBM baseline,0.4427,0.7744,0.592,0.601,0.699,0.5174,0.717,1383,2880,1290,546,0.35303265940902023,0.4931506849315068,0.17569036747118938,0.14305750350631138,0.17569036747118938,0.1593739354887504,1.0,,N/A,0.17274525741638724,0.183,0.7682,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost with ACT-parity,0.4342,0.7722,0.587,0.609,0.6849,0.5012,0.776,1497,2680,1490,432,0.3188180404354588,0.4657534246575342,0.17739363629774585,0.391304347826087,0.17739363629774585,0.28434899206191644,1.0,,N/A,0.15262077453917278,0.1895,0.8472,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost baseline,0.4566,0.7811,0.6033,0.6144,0.6937,0.5105,0.7714,1488,2743,1427,441,0.28408501814411613,0.3972602739726027,0.13271000942233818,0.24661056568489947,0.13271000942233818,0.18966028755361883,1.0,,N/A,0.10648178615895396,0.1858,0.9099,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer,0.5135,0.521,0.3365,0.4815,0.3304,0.3188,0.9829,1896,119,4051,33,0.0,0.0,0.0,0.005376344086021501,0.0,0.0026881720430107503,1.0,,N/A,0.0,0.259,2.4892,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer with ACT-parity,0.274,0.5206,0.3307,0.4808,0.3432,0.3205,0.9616,1855,238,3932,74,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2162,0.9069,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.4639,0.7812,0.6034,0.6143,0.6939,0.5106,0.7709,1487,2745,1425,442,0.2820114048729912,0.3972602739726027,0.13800101471334347,0.24661056568489947,0.13800101471334347,0.19230579019912147,1.0,,90:10,0.10622811919294696,0.1862,1.0976,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
