Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope,Incremental Ensemble Value for ROC AUC,Incremental Ensemble Value for PR AUC,Incremental Ensemble Value for F1 Score,Incremental Ensemble Value for Brier Score,Incremental Ensemble Value for ACT-Parity Gap,Incremental Ensemble Value for FNR Gap,Incremental Ensemble Value for FPR Gap,Transportability Gap for ROC AUC,Transportability Gap for PR AUC,Transportability Gap for Brier Score,Transportability Gap for ACT-Parity Gap,Transportability Gap for FNR Gap,Transportability Gap for FPR Gap,Transportability Gap for FPSA
Texas Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer with ACT-parity,0.491,0.524,0.5172,0.6482,0.4795,0.4795,1.0,117,0,127,0,0.5726495726495726,0.6333333333333333,0.16274509803921566,0.20272904483430798,0.16274509803921566,0.18273707143676182,1.0,,N/A,0.05658437669340126,0.2497,3.239,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (30:70),0.4716,0.7662,0.721,0.742,0.7008,0.6325,0.8974,105,66,61,12,0.15384615384615385,0.2,0.1,0.3352826510721248,0.1,0.2176413255360624,1.0,,30:70,0.02248420231136765,0.2175,2.331,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.4679,0.7982,0.7496,0.7431,0.7336,0.6912,0.8034,94,85,42,23,0.24786324786324787,0.28,0.08000000000000002,0.2375478927203065,0.08000000000000002,0.15877394636015324,1.0,,30:70,0.0322089911157839,0.2079,2.889,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Diabetes + Hypertension (d+hyp),CatBoost baseline,0.3063,0.7672,0.6137,0.6226,0.6354,0.4763,0.8988,231,257,254,26,0.36186770428015563,0.41509433962264153,0.09366576819407008,0.045566502463054215,0.09366576819407008,0.06961613532856215,1.0,,N/A,0.05872430624999696,0.1873,0.8185,,,,,,,,,,,,,,
Texas Cohort,Diabetes + Hypertension (d+hyp),CatBoost with ACT-parity,0.3415,0.7533,0.6025,0.6054,0.6367,0.4756,0.8327,214,275,236,43,0.3346303501945525,0.4339622641509434,0.16610512129380056,0.08990147783251229,0.16610512129380056,0.12800329956315643,1.0,,N/A,0.09105437010288883,0.1961,0.7631,,,,,,,,,,,,,,
Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost with ACT-parity,0.2983,0.7477,0.5867,0.6012,0.6406,0.4782,0.8093,208,284,227,49,0.4280155642023346,0.4716981132075472,0.07884097035040433,0.21336206896551724,0.07884097035040433,0.14610151965796078,1.0,,N/A,0.055178541512063806,0.2001,0.534,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost baseline,0.2615,0.7495,0.5888,0.6028,0.6328,0.4724,0.8327,214,272,239,43,0.4474708171206226,0.4716981132075472,0.034198113207547176,0.15578817733990147,0.034198113207547176,0.09499314527372432,1.0,,N/A,0.031685721610181676,0.1981,0.5293,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer,0.5516,0.5031,0.3557,0.5025,0.3424,0.3364,0.9922,255,8,503,2,0.0038910505836575876,0.011904761904761904,0.011904761904761904,0.0,0.011904761904761904,0.005952380952380952,1.0,,N/A,4.1324503216705765e-05,0.2761,0.9323,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer with ACT-parity,0.3957,0.5213,0.3544,0.5076,0.4062,0.3513,0.9144,235,77,434,22,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2299,0.6197,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4797,0.7478,0.5867,0.5997,0.6367,0.475,0.8132,209,280,231,48,0.2840466926070039,0.32075471698113206,0.05289757412398921,0.17487046632124353,0.05289757412398921,0.11388402022261637,1.0,,30:70,0.02618512056259215,0.2269,2.5682,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.357,0.7424,0.5658,0.6053,0.6094,0.4573,0.8949,230,238,273,27,0.6147859922178989,0.660377358490566,0.07704402515723263,0.08775906735751296,0.07704402515723263,0.0824015462573728,1.0,,30:70,0.09383237823699218,0.2026,2.4271,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Heart Failure + Hypertension (hf+hyp),CatBoost with ACT-parity,0.2678,0.7217,0.625,0.6737,0.6239,0.537,0.9039,254,154,219,27,0.34519572953736655,0.3968253968253968,0.1718253968253968,0.28544061302681994,0.1718253968253968,0.22863300492610839,1.0,,N/A,0.04721000077392651,0.2154,0.6246,,,,,,,,,,,,,,
Texas Cohort,Heart Failure + Hypertension (hf+hyp),CatBoost baseline,0.3112,0.7495,0.6739,0.6939,0.6682,0.5748,0.8754,246,191,182,35,0.298932384341637,0.3218390804597701,0.1218390804597701,0.2509578544061303,0.1218390804597701,0.1863984674329502,1.0,,N/A,0.021530293481539377,0.2022,0.7097,,,,,,,,,,,,,,
Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost with ACT-parity,0.1819,0.7372,0.6433,0.6872,0.6437,0.5517,0.911,256,165,208,25,0.33807829181494664,0.45,0.14841269841269844,0.39655172413793105,0.14841269841269844,0.27248221127531475,1.0,,N/A,0.10617704838675461,0.2171,0.4885,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost baseline,0.2578,0.7368,0.6523,0.6845,0.6575,0.5664,0.8648,243,187,186,38,0.3701067615658363,0.45,0.13253968253968257,0.23371647509578547,0.13253968253968257,0.18312807881773402,1.0,,N/A,0.08224294662274788,0.2195,0.4656,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer,0.4631,0.5382,0.476,0.6034,0.4373,0.4328,0.9964,280,6,367,1,0.2313167259786477,0.2857142857142857,0.2107142857142857,0.3933933933933934,0.2107142857142857,0.3020538395538396,1.0,,N/A,0.019455814769901696,0.25,2.398,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer with ACT-parity,0.45,0.535,0.4629,0.6017,0.4312,0.4303,1.0,281,1,372,0,0.9857651245551602,0.9885057471264368,0.013505747126436818,0.008695652173913044,0.013505747126436818,0.01110069965017493,1.0,,N/A,0.005289264813155677,0.2457,2.5842,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4084,0.7361,0.6433,0.6846,0.6422,0.551,0.9039,254,166,207,27,0.3594306049822064,0.475,0.1734126984126984,0.23371647509578547,0.1734126984126984,0.20356458675424194,1.0,,30:70,0.1130556176547253,0.2193,2.2717,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.3779,0.7384,0.6419,0.6835,0.6361,0.5456,0.9146,257,159,214,24,0.42704626334519574,0.575,0.1727011494252873,0.3448275862068966,0.1727011494252873,0.2587643678160919,1.0,,30:70,0.16929416662342295,0.2171,2.3958,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),CatBoost baseline,0.32,0.7335,0.6985,0.7455,0.6973,0.6508,0.8723,82,47,44,12,0.30851063829787234,0.35,0.0537037037037037,0.15909090909090912,0.0537037037037037,0.10639730639730641,1.0,,N/A,0.0,0.2189,0.524,,,,,,,,,,,,,,
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),CatBoost with ACT-parity,0.2267,0.6742,0.6644,0.7137,0.627,0.585,0.9149,86,30,61,8,0.3617021276595745,0.45,0.15000000000000002,0.2060185185185185,0.15000000000000002,0.17800925925925926,1.0,,N/A,0.0,0.2445,0.4234,,,,,,,,,,,,,,
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost with ACT-parity,0.0934,0.6793,0.6567,0.7206,0.627,0.5817,0.9468,89,27,64,5,0.3617021276595745,0.5,0.25,0.19444444444444442,0.25,0.2222222222222222,1.0,,N/A,0.0,0.261,0.3349,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost baseline,0.0399,0.7056,0.6979,0.7294,0.627,0.5776,0.9894,93,23,68,1,0.35106382978723405,0.4,0.06666666666666671,0.1647727272727273,0.06666666666666671,0.115719696969697,1.0,,N/A,0.0,0.2629,0.3237,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer,0.4831,0.4619,0.4583,0.6738,0.5081,0.5081,1.0,94,0,91,0,0.02127659574468085,0.037037037037037035,0.037037037037037035,0.022727272727272707,0.037037037037037035,0.02988215488215487,1.0,,N/A,0.000967634320366276,0.2528,-3.1944,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer with ACT-parity,0.4658,0.5352,0.548,0.6818,0.5459,0.5294,0.9574,90,11,80,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.251,5.5787,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4141,0.6865,0.6563,0.7243,0.6378,0.5906,0.9362,88,30,61,6,0.2978723404255319,0.4,0.15000000000000002,0.10795454545454541,0.15000000000000002,0.12897727272727272,1.0,,30:70,0.0,0.2292,1.4377,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.3563,0.6809,0.6534,0.7206,0.627,0.5817,0.9468,89,27,64,5,0.39361702127659576,0.5,0.2,0.15909090909090912,0.2,0.17954545454545456,1.0,,30:70,0.0,0.2303,1.5355,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
