Cohort,Ensemble Model,Base Model,HIR Model,Ensemble Ratio,Metric,Base Value,HIR-M3 Value,Ensemble Value,Incremental Ensemble Value,Direction,Interpretation,CI Lower,CI Upper
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,FPR Gap,0.2684,0.4432,0.1347,0.1337,Lower is better,Positive IEV: Ensemble improves on both individual components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,ECE,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,Transportability Gap,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,ROC AUC,0.808,0.528,0.8066,-0.0014,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,PR AUC,0.4334,0.1622,0.4212,-0.0122,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,F1 Score,0.4593,0.2574,0.4599,0.0005,Higher is better,Positive IEV: Ensemble improves on both individual components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,Recall,0.6215,0.9804,0.6073,-0.3731,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,Specificity,0.8131,0.0285,0.8219,0.0087,Higher is better,Positive IEV: Ensemble improves on both individual components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,Precision,0.3643,0.1481,0.3701,0.0058,Higher is better,Positive IEV: Ensemble improves on both individual components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,Net Benefit,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,FPSA,0.0,0.0,0.0,0.0,Higher is better,Zero IEV: Ensemble provides no additional value beyond better component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,Brier Score,0.1603,0.1254,0.1112,0.0142,Lower is better,Positive IEV: Ensemble improves on both individual components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,ACT-Parity Gap,0.4292,0.0,0.0,0.0,Lower is better,Zero IEV: Ensemble provides no additional value beyond better component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,FNR Gap,0.4292,0.0,0.0,0.0,Lower is better,Zero IEV: Ensemble provides no additional value beyond better component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,FPR Gap,0.2477,0.0,0.0,0.0,Lower is better,Zero IEV: Ensemble provides no additional value beyond better component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,ECE,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,30:70,Transportability Gap,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
