Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Pair Name,Base Model,HIR Model,Weight Base,Weight HIR,Ensemble Ratio (Base:HIR),Optimal Threshold,Sample Size
0.26883161067962646,0.8249304629689176,0.48413287802677724,0.48715016551309054,0.8168196573295784,0.4268987341772152,0.5672039243167484,0.8620435732060332,0.10272765979896549,4047,33949,5433,3088,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.9,0.1,90:10,0.26883161067962646,232581
0.263863742351532,0.8258315252358824,0.4853238094340378,0.4877817880598781,0.813895995012576,0.42207659225885724,0.5777154870357393,0.8566857955411101,0.1025768327096488,4122,33738,5644,3013,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.8,0.2,80:20,0.263863742351532,232581
0.26588669419288635,0.8264268512640833,0.4859486045000451,0.4873387482083134,0.8154653137562612,0.42460193568529503,0.5718290119131044,0.8596059113300493,0.10247800482138159,4080,33853,5529,3055,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.7,0.3,70:30,0.26588669419288635,232581
0.26699066162109375,0.8267119658143689,0.4860630902525518,0.48745562842187595,0.816862652363652,0.4270503900484925,0.5677645409950947,0.8619927885836168,0.10243117561856534,4051,33947,5435,3084,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.6,0.4,60:40,0.26699066162109375,232581
0.2533528506755829,0.8267147808554571,0.4856601097976579,0.4875673198120774,0.8077262076230195,0.41234615757340826,0.5963559915907498,0.8460210248336804,0.10243634555761096,4255,33318,6064,2880,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.5,0.5,50:50,0.2533528506755829,232581
0.25196143984794617,0.8264268512640833,0.48473326223888713,0.4867948206035024,0.8065868392200701,0.41044632550981147,0.5980378416257883,0.8443705246051496,0.10249351414562022,4267,33253,6129,2868,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.4,0.6,40:60,0.25196143984794617,232581
0.26020288467407227,0.8258645210050999,0.48336217947379534,0.4867532162368561,0.8121761936496334,0.41899271844660196,0.5806587245970568,0.8541211721090853,0.1026026819149181,4143,33637,5745,2992,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.3,0.7,30:70,0.26020288467407227,232581
0.25921204686164856,0.825014729141978,0.4814693173279487,0.4863883847549909,0.8114022830363093,0.41765533882968026,0.5822004204625087,0.8529277334823016,0.10276384829874596,4154,33590,5792,2981,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.2,0.8,20:80,0.25921204686164856,232581
0.25637874007225037,0.8238552133617866,0.47918149796131304,0.48469713688367494,0.8092525313326311,0.41382387941293136,0.5848633496846531,0.8499060484485298,0.10297701393702682,4173,33471,5911,2962,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.1,0.9,10:90,0.25637874007225037,232581
0.2688508927822113,0.823696389526524,0.48240452975072035,0.4849610545236669,0.8152073435518198,0.42354788069073784,0.5672039243167484,0.8601391498654207,0.10293048548014615,4047,33874,5508,3088,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,1.0,0.0,100:0,0.2688508927822113,232581
