Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,F1_Score,0.25959028382947635,0.25047826052741395,0.2697571636523324,0.2596 (0.2505 - 0.2698)
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,Accuracy,0.16336749399519615,0.15668134507606085,0.17015612489991996,0.1634 (0.1567 - 0.1702)
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,Precision,0.1492388108166825,0.14321716237272825,0.15598199383308065,0.1492 (0.1432 - 0.1560)
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,Recall_Sensitivity,0.9966256792536524,0.9934132869432342,0.9989540974126534,0.9966 (0.9934 - 0.9990)
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,Specificity,0.019576238644789162,0.016707852248192996,0.022139219956517853,0.0196 (0.0167 - 0.0221)
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,Brier_Score,0.2914331464023098,0.28897663981175586,0.29344422807816967,0.2914 (0.2890 - 0.2934)
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,ROC_AUC,0.652613582229771,0.638600522660304,0.6647447677725971,0.6526 (0.6386 - 0.6647)
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,PR_AUC,0.27172343151232087,0.25372019966471315,0.2930814667257075,0.2717 (0.2537 - 0.2931)
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,F1_Score,0.28767890865732637,0.27778998262498744,0.2996235729028115,0.2877 (0.2778 - 0.2996)
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,Accuracy,0.3967385908726982,0.38863090472377904,0.40545036028823056,0.3967 (0.3886 - 0.4055)
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,Precision,0.17410387168727937,0.16743547218279675,0.1820549709480378,0.1741 (0.1674 - 0.1821)
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,Recall_Sensitivity,0.8277987766609101,0.8121828904164746,0.8427789954690761,0.8278 (0.8122 - 0.8428)
