Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Setting,Cohort Size,Num Features,Model
0.36584440930715134,0.6700560990231775,0.2847860450307771,0.33080955154338965,0.6853778751369113,0.23935946059839866,0.5353440150801131,0.5353440150801131,0.7108761813230818,0.15247604514427546,568,4438,1805,493,Texas Cohort - Urban,Urban,36518,756,LightGBM
0.4723028540611267,0.6676343857618176,0.29105590494013234,0.3269989243456436,0.7430175246440307,0.2638888888888889,0.4297832233741753,0.4297832233741753,0.7962518020182604,0.17010893939816008,456,4971,1272,605,Texas Cohort - Urban,Urban,36518,756,XGBoost
0.5179801373928616,0.6956127903780037,0.32402490446404913,0.3507890961262554,0.7521905805038335,0.2831499710480602,0.46088595664467485,0.46088595664467485,0.8016979016498478,0.1905477719117661,489,5005,1238,572,Texas Cohort - Urban,Urban,36518,756,CatBoost
0.2852607535676107,0.6304217368127139,0.22736058784326577,0.29265599116510216,0.6492332968236583,0.20695040999609526,0.49952874646559847,0.49952874646559847,0.6746756367131187,0.13441439461367718,530,4212,2031,531,Texas Cohort - Urban,Urban,36518,756,Random Forest
0.5300898929064267,0.701612497797722,0.3283513822682569,0.35499092558983664,0.7567086527929902,0.2886658795749705,0.46088595664467485,0.46088595664467485,0.8069838218805062,0.19973124587982485,489,5038,1205,572,Texas Cohort - Urban,Urban,36518,756,Gradient Boosting
0.61181121233714,0.6905288682985642,0.31485934350848077,0.3413835448219402,0.779709748083242,0.3017366136034732,0.3930254476908577,0.3930254476908577,0.8454268781034759,0.21184780523044322,417,5278,965,644,Texas Cohort - Urban,Urban,36518,756,Logistic Regression
0.22736808005930806,0.6811406932528098,0.2936794445907368,0.3245192307692307,0.5666088297667246,0.2115987460815047,0.6958762886597938,0.6958762886597938,0.5438676037179778,0.14544202608195902,540,2399,2012,236,Texas Cohort - Rural,Rural,25931,756,LightGBM
0.5022168755531311,0.6920979533359666,0.3198609781740418,0.35365853658536583,0.7752072488914594,0.3103112840466926,0.4110824742268041,0.4110824742268041,0.8392654726819315,0.1625777174610315,319,3702,709,457,Texas Cohort - Rural,Rural,25931,756,XGBoost
0.5372119357061678,0.7071443930006286,0.340425235358402,0.3666666666666667,0.7655677655677655,0.3076923076923077,0.4536082474226804,0.4536082474226804,0.8204488778054863,0.18486943393766603,352,3619,792,424,Texas Cohort - Rural,Rural,25931,756,CatBoost
0.256347869293382,0.6688115115211035,0.27227646644565384,0.3253333333333333,0.609793715056873,0.21942446043165467,0.6288659793814433,0.6288659793814433,0.6064384493312174,0.13166206517386203,488,2675,1736,288,Texas Cohort - Rural,Rural,25931,756,Random Forest
0.5058940979113724,0.7185302325255278,0.3360020630498617,0.37433155080213903,0.7293233082706767,0.28610354223433243,0.5412371134020618,0.5412371134020618,0.7624121514395829,0.1945731160622902,420,3363,1048,356,Texas Cohort - Rural,Rural,25931,756,Gradient Boosting
0.5324944561604193,0.7069842965220501,0.32986718876827104,0.37133277451802177,0.7108155002891845,0.2751552795031056,0.5708762886597938,0.5708762886597938,0.7354341419179324,0.21070630950294744,443,3244,1167,333,Texas Cohort - Rural,Rural,25931,756,Logistic Regression
