Cohort,Subgroup,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Nationwide Cohort,HF,31542,2077,Gradient Boosting,0.6907 (0.6787 - 0.7008),0.1933 (0.1895 - 0.1968),0.6205 (0.6016 - 0.6352),0.5756 (0.5511 - 0.6000),0.5093 (0.4878 - 0.5279),0.7776 (0.7658 - 0.7887),0.7940 (0.7777 - 0.8143),0.6425 (0.6264 - 0.6554)
Nationwide Cohort,HF,31542,2077,HIR-M3 Transformer,0.3185 (0.3069 - 0.3303),0.2418 (0.2412 - 0.2424),0.4831 (0.4696 - 0.4966),0.3868 (0.3676 - 0.4038),0.3185 (0.3069 - 0.3303),0.5866 (0.5701 - 0.5994),1.0000 (1.0000 - 1.0000),0.0000 (0.0000 - 0.0000)
Nationwide Cohort,HF,31542,2077,LightGBM,0.6705 (0.6572 - 0.6824),0.1828 (0.1772 - 0.1873),0.6112 (0.5908 - 0.6281),0.5847 (0.5618 - 0.6119),0.4896 (0.4689 - 0.5089),0.7764 (0.7651 - 0.7886),0.8134 (0.7974 - 0.8285),0.6038 (0.5905 - 0.6182)
Nationwide Cohort,HF,31542,2077,Logistic Regression,0.6249 (0.6150 - 0.6367),0.2201 (0.2143 - 0.2261),0.5570 (0.5419 - 0.5726),0.5169 (0.4902 - 0.5406),0.4464 (0.4292 - 0.4651),0.7132 (0.6997 - 0.7269),0.7407 (0.7254 - 0.7598),0.5708 (0.5580 - 0.5853)
Nationwide Cohort,HF,31542,2077,Random Forest,0.6280 (0.6171 - 0.6416),0.1912 (0.1884 - 0.1941),0.5760 (0.5577 - 0.5906),0.5445 (0.5169 - 0.5717),0.4521 (0.4326 - 0.4681),0.7386 (0.7267 - 0.7516),0.7937 (0.7789 - 0.8112),0.5506 (0.5379 - 0.5663)
Nationwide Cohort,HF,31542,2077,SAINT Transformer,0.6802 (0.6684 - 0.6916),0.2288 (0.2224 - 0.2357),0.0411 (0.0291 - 0.0545),0.3793 (0.3614 - 0.3973),0.4546 (0.3613 - 0.5449),0.5736 (0.5584 - 0.5871),0.0216 (0.0152 - 0.0287),0.9879 (0.9845 - 0.9910)
Nationwide Cohort,HF,31542,2077,Standard MLP,0.6321 (0.6218 - 0.6431),0.2284 (0.2224 - 0.2334),0.5465 (0.5300 - 0.5643),0.5081 (0.4865 - 0.5326),0.4499 (0.4306 - 0.4716),0.7068 (0.6955 - 0.7212),0.6961 (0.6810 - 0.7166),0.6022 (0.5884 - 0.6159)
Nationwide Cohort,HF,31542,2077,Standard Transformer,0.6007 (0.5898 - 0.6147),0.2391 (0.2382 - 0.2400),0.4383 (0.4194 - 0.4580),0.3900 (0.3707 - 0.4095),0.3970 (0.3775 - 0.4156),0.5877 (0.5717 - 0.6053),0.4893 (0.4703 - 0.5116),0.6528 (0.6423 - 0.6648)
Nationwide Cohort,HF,31542,2077,XGBoost,0.6921 (0.6809 - 0.7038),0.1857 (0.1810 - 0.1902),0.6098 (0.5921 - 0.6268),0.5991 (0.5736 - 0.6257),0.5112 (0.4915 - 0.5324),0.7797 (0.7682 - 0.7908),0.7558 (0.7373 - 0.7721),0.6623 (0.6484 - 0.6756)
Nationwide Cohort,HF + Hyp,41550,2077,CatBoost,0.6694 (0.6602 - 0.6786),0.1948 (0.1908 - 0.1985),0.6336 (0.6237 - 0.6441),0.6102 (0.5913 - 0.6277),0.5169 (0.5046 - 0.5300),0.7682 (0.7574 - 0.7784),0.8186 (0.8050 - 0.8314),0.5892 (0.5754 - 0.6002)
