Dataset,Method,Feature Name,Score
Complete Cohort,Variance Threshold,COUNTY_NAME_Medina,1.000000048866511
Complete Cohort,Variance Threshold,elix_quan_ageadj,1.000000048820286
Complete Cohort,Variance Threshold,COUNTY_NAME_Van_Zandt,1.0000000485682714
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_14,1.000000047987896
Complete Cohort,Variance Threshold,ACS_PCT_GRADUATE_DGR,1.0000000478525963
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_5,1.0000000474809965
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CGMS,1.0000000473342998
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_0,1.0000000467257872
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_31,1.000000046711495
Complete Cohort,Variance Threshold,COUNTY_NAME_Cooke,1.0000000467114947
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BFMS,1.0000000465721284
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_val_28,1.000000046572128
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_112,1.0000000458562581
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CHKT,1.000000045856258
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_18,1.0000000458489553
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_9,1.0000000457172815
Complete Cohort,Variance Threshold,COUNTY_NAME_Hale,1.0000000454524451
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_15,1.0000000448432715
Complete Cohort,Variance Threshold,American_Indian_or_Alaska_Native,1.0000000438781906
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_5CHKU,1.0000000436761263
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_Other,1.000000042400919
Complete Cohort,Variance Threshold,ACS_PCT_COLLEGE_ASSOCIATE_DGR,1.0000000423720026
Complete Cohort,Variance Threshold,ACS_PCT_HH_PC_ONLY,1.0000000415371055
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_val_30,1.0000000415115375
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_val_15,1.000000041315221
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_19,1.0000000408984946
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_16,1.0000000393660058
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_2,1.000000038787694
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_13,1.000000038483776
Complete Cohort,Variance Threshold,COUNTY_NAME_Navarro,1.0000000383314
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_15,1.0000000381495793
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_57,1.000000038053714
Complete Cohort,Variance Threshold,ACS_PCT_HH_NO_FD_STMP_BLW_POV,1.0000000379758567
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BGMT,1.0000000376750882
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_4,1.0000000376750877
Complete Cohort,Variance Threshold,COUNTY_NAME_Gray,1.0000000376531977
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_6,1.0000000376531974
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_11,1.0000000376526867
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_val_8,1.000000037556024
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHKU,1.000000037556024
Complete Cohort,Variance Threshold,ACS_PCT_HEALTH_INC_BELOW137,1.0000000373838571
Complete Cohort,Variance Threshold,COUNTY_NAME_Maverick,1.0000000365553827
Complete Cohort,Variance Threshold,COUNTY_NAME_Angelina,1.0000000365318589
