Cluster_ID,Cluster_Name,Source_Column
-119,"Musculoskeletal: M47.819, Q76.2",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-118,"Musculoskeletal: M48.02, M54.12",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-117,"Factors Influencing Health Status: M43.26, Z98.1",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-116,"Musculoskeletal: Z47.89, M48.06",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-115,"Musculoskeletal: M25.571, M25.572",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-114,"Musculoskeletal: M25.551, M25.552",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-113,"Musculoskeletal: M25.541, M25.542",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-112,"Musculoskeletal: M25.511, M25.512",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-111,"Musculoskeletal: M24.561, M24.562",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-110,"Musculoskeletal: M24.542, M24.541",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-109,"Musculoskeletal: M22.41, M22.42",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-108,"Musculoskeletal: M21.371, M21.372",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-107,"Musculoskeletal: M20.41, M20.42",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-106,"Musculoskeletal: M19.071, M19.072",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-105,"Musculoskeletal: M19.041, M19.042",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-104,"Musculoskeletal: M19.031, M19.032",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-103,"Musculoskeletal: M19.011, M19.012",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-102,"Musculoskeletal: M14.671, M14.672",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-101,"Musculoskeletal: M13.862, M13.861",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-100,"Musculoskeletal: M10.071, M10.072",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-99,"Musculoskeletal: M10.061, M10.062",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-98,"Skin/Subcutaneous: L97.929, L97.919",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-97,"Skin/Subcutaneous: L97.922, L97.912",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-96,"Skin/Subcutaneous: L97.921, L97.911",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-95,"Skin/Subcutaneous: L97.829, L97.819",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-94,"Skin/Subcutaneous: L97.823, L97.813",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-93,"Skin/Subcutaneous: L97.523, L97.513",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-92,"Skin/Subcutaneous: L97.429, L97.419",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-91,"Musculoskeletal: M86.671, L97.414",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-90,"Skin/Subcutaneous: L97.412, L97.422",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-89,"Skin/Subcutaneous: L97.421, L97.411",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-88,"Skin/Subcutaneous: L97.319, L97.329",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-87,"Skin/Subcutaneous: L97.219, L97.229",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
