Method,Dataset,Feature_Short,Score_TX,Score_Nationwide,Score_Diff,Abs_Diff
HIR-M3 Attention Importance,Diabetic Patients,PCD,0.9049375653266908,0.0017548409523442,0.9031827243743465,0.9031827243743465
HIR-M3 Attention Importance,Heart Failure Patients,HIPPS: 1CHLT,0.8696619868278503,0.0033042051363736,0.8663577816914767,0.8663577816914767
HIR-M3 Attention Importance,Diabetic Patients,Dx1 – Digestive: K21.9,0.8614208698272705,0.0022660547401756,0.8591548150870949,0.8591548150870949
HIR-M3 Attention Importance,Diabetic Patients,Primary Dx – Musculoskeletal: M15.0,0.8009936213493347,0.0014998518163338,0.7994937695330009,0.7994937695330009
HIR-M3 Attention Importance,Diabetic Patients,County: Jones,0.8011380434036255,0.0018898145062848,0.7992482288973407,0.7992482288973407
HIR-M3 Attention Importance,Diabetic Patients,Primary Dx – Musculoskeletal: M15.0,0.8009936213493347,0.0026516888756304,0.7983419324737043,0.7983419324737043
HIR-M3 Attention Importance,Diabetic Patients,Dx2 – Respiratory: J20.9,0.782263457775116,0.0014001411618664,0.7808633166132496,0.7808633166132496
HIR-M3 Attention Importance,Diabetic Patients,Dx2 – Respiratory: J20.9,0.782263457775116,0.0019656119402498,0.7802978458348662,0.7802978458348662
HIR-M3 Attention Importance,Diabetic Patients,HIPPS: 1CHNU,0.7804014086723328,0.0022494138684123,0.7781519948039205,0.7781519948039205
HIR-M3 Attention Importance,Diabetic Patients,HIPPS: 1AFKS,0.7975866794586182,0.0222595855593681,0.77532709389925,0.77532709389925
HIR-M3 Attention Importance,Diabetic Patients,County: Brazos,0.7730437517166138,0.000894475961104,0.7721492757555097,0.7721492757555097
HIR-M3 Attention Importance,Diabetic Patients,"Dx4 – Endocrine/Metabolic: E78.5, E03.9",0.7537139654159546,0.0015883971937,0.7521255682222546,0.7521255682222546
HIR-M3 Attention Importance,Diabetic Patients,"Dx4 – Endocrine/Metabolic: E78.5, E03.9",0.7537139654159546,0.0019633169285953,0.7517506484873593,0.7517506484873593
HIR-M3 Attention Importance,Diabetic Patients,Dx1 – Cluster 72,0.7475592494010925,0.0016629794845357,0.7458962699165568,0.7458962699165568
HIR-M3 Attention Importance,Diabetic Patients,HIPPS: 1AFKT,0.7490373849868774,0.0031733466312289,0.7458640383556485,0.7458640383556485
HIR-M3 Attention Importance,Diabetic Patients,HIPPS: 2BGLT,0.7451779842376709,0.0014038246590644,0.7437741595786065,0.7437741595786065
HIR-M3 Attention Importance,Heart Failure Patients,"Dx4 – Factors Influencing Health Status: Z96.641, M16.11",0.7336101531982422,0.0007658046670258,0.7328443485312164,0.7328443485312164
HIR-M3 Attention Importance,Heart Failure Patients,"Dx4 – Factors Influencing Health Status: Z96.641, M16.11",0.7336101531982422,0.001209812820889,0.7324003403773532,0.7324003403773532
HIR-M3 Attention Importance,Diabetic Patients,Dx4 – Digestive: K21.9,0.7278976440429688,0.0013392829569056,0.7265583610860632,0.7265583610860632
HIR-M3 Attention Importance,Diabetic Patients,"Dx1 – Respiratory: J18.9, J44.0",0.7204728126525879,0.0025689622852951,0.7179038503672928,0.7179038503672928
HIR-M3 Attention Importance,Diabetic Patients,HIPPS: 1AGPS,0.7168245911598206,0.0008038152591325,0.716020775900688,0.716020775900688
HIR-M3 Attention Importance,Heart Failure Patients,Dx1 – Cluster 35,0.6964178085327148,0.0048353904858231,0.6915824180468917,0.6915824180468917
HIR-M3 Attention Importance,Heart Failure Patients,"Dx5 – Factors Influencing Health Status: Z96.651, M17.11",0.6657863855361938,0.001370498444885,0.6644158870913088,0.6644158870913088
HIR-M3 Attention Importance,Hypertensive Patients,HYPUNC,1.0,0.3418388366699219,0.6581611633300781,0.6581611633300781
HIR-M3 Attention Importance,Heart Failure Patients,"Dx4 – Musculoskeletal: M25.561, M25.562",0.6524109840393066,0.0008317229221574,0.6515792611171493,0.6515792611171493
HIR-M3 Attention Importance,Heart Failure Patients,County: Orange,0.6305431127548218,0.0003302599070593,0.6302128528477625,0.6302128528477625
HIR-M3 Attention Importance,Heart Failure Patients,Dx1 – Digestive: K21.9,0.624693751335144,0.0008655553683638,0.6238281959667803,0.6238281959667803
HIR-M3 Attention Importance,Heart Failure Patients,County: Caldwell,0.6197581887245178,0.0005641343304887,0.6191940543940291,0.6191940543940291
HIR-M3 Attention Importance,Heart Failure Patients,County: Llano,0.5898032188415527,0.0011685648933053,0.5886346539482474,0.5886346539482474
HIR-M3 Attention Importance,Heart Failure Patients,Days Cared For,0.4116683900356293,1.0,-0.5883316099643707,0.5883316099643707
HIR-M3 Attention Importance,Heart Failure Patients,Dx1 – Cluster 139,0.5807355046272278,0.004298863466829,0.5764366411603988,0.5764366411603988
HIR-M3 Attention Importance,Heart Failure Patients,County: Erath,0.5755990147590637,0.0008567519835196,0.5747422627755441,0.5747422627755441
HIR-M3 Attention Importance,Heart Failure Patients,Dx5 – Factors Influencing Health Status: Z79.891,0.5590807795524597,0.0006203702650964,0.5584604092873633,0.5584604092873633
HIR-M3 Attention Importance,Heart Failure Patients,Dx5 – Factors Influencing Health Status: Z79.891,0.5590807795524597,0.0029135702643543,0.5561672092881054,0.5561672092881054
HIR-M3 Attention Importance,Heart Failure Patients,Dx2 – Respiratory: J20.9,0.5521862506866455,0.0005060546100139,0.5516801960766317,0.5516801960766317
HIR-M3 Attention Importance,Heart Failure Patients,Dx2 – Respiratory: J20.9,0.5521862506866455,0.0033489030320197,0.5488373476546258,0.5488373476546258
HIR-M3 Attention Importance,Heart Failure Patients,"Dx5 – Musculoskeletal: M25.561, M25.562",0.5369344353675842,0.001488127047196,0.5354463083203882,0.5354463083203882
HIR-M3 Attention Importance,Heart Failure Patients,Dx1 – Factors Influencing Health Status: Z91.81,0.5348502397537231,0.0011714632855728,0.5336787764681503,0.5336787764681503
HIR-M3 Attention Importance,Hypertensive Patients,HYPC,0.0577891319990158,0.3341674506664276,-0.2763783186674118,0.2763783186674118
Random Forest Importance,Complete Cohort,Days Cared For,0.0907789563678258,0.3297989215059708,-0.239019965138145,0.239019965138145
HIR-M3 Attention Importance,Hypertensive Patients,REND,0.2268383204936981,0.0004372446273919,0.2264010758663062,0.2264010758663062
HIR-M3 Attention Importance,Hypertensive Patients,elix quan score,0.2821318507194519,0.0630458518862724,0.2190859988331795,0.2190859988331795
HIR-M3 Attention Importance,Complete Cohort,elix swiss score,0.2443193942308426,0.0296194087713956,0.214699985459447,0.214699985459447
Random Forest Importance,Hypertensive Patients,Days Cared For,0.0723780320040109,0.28516952157108,-0.21279148956706911,0.21279148956706911
HIR-M3 Attention Importance,Hypertensive Patients,HIPPS: 1BFKS,0.0198072008788585,0.2304199934005737,-0.2106127925217152,0.2106127925217152
HIR-M3 Attention Importance,Complete Cohort,charlson score,0.1945019662380218,0.0037040652241557,0.1907979010138661,0.1907979010138661
HIR-M3 Attention Importance,Hypertensive Patients,Days Cared For,0.8416997194290161,1.0,-0.1583002805709839,0.1583002805709839
Random Forest Importance,Heart Failure Patients,Days Cared For,0.0837116937173425,0.2347964546726832,-0.1510847609553407,0.1510847609553407
