Dataset,Method,Feature Name,Score
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_VET_HS,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_NO_INTERNET,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_POSTHS_ED,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HS_GRADUATE,0.0
Complete Cohort,Lasso (L1 LogReg),POPPCT_RUR,0.0
Complete Cohort,Lasso (L1 LogReg),drug,0.0
Complete Cohort,Lasso (L1 LogReg),POPPCT_URB,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_PC,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_PC_ONLY,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_SMARTPHONE,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_CHILD_1FAM,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_GRANDP_RESPS_NO_P,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_KID_1PRNT,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HEALTH_INC_138_199,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HEALTH_INC_ABOVE400,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HEALTH_INC_BELOW137,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_TOT_POP_POV,0.0
Complete Cohort,Random Forest Importance,Days_Cared_For,0.33923180721738916
Complete Cohort,Random Forest Importance,Age,0.15711203446659464
Complete Cohort,Random Forest Importance,elix_swiss_ageadj,0.03264349944377552
Complete Cohort,Random Forest Importance,elix_quan_ageadj,0.03136870758115544
Complete Cohort,Random Forest Importance,elix_swiss_score,0.024874215372922916
Complete Cohort,Random Forest Importance,charlson_ageadj,0.022388862976650423
Complete Cohort,Random Forest Importance,charlson_survival_10yr,0.020681243953447885
Complete Cohort,Random Forest Importance,elix_quan_score,0.020483600972048367
Complete Cohort,Random Forest Importance,charlson_score,0.018992702721571678
Complete Cohort,Random Forest Importance,hypunc,0.017464685766765346
Complete Cohort,Random Forest Importance,White,0.016428631065797433
Complete Cohort,Random Forest Importance,depre,0.012425362439945948
Complete Cohort,Random Forest Importance,Hispanic_or_Latino,0.012339144773628163
Complete Cohort,Random Forest Importance,Black_or_African_American,0.01116064648164144
Complete Cohort,Random Forest Importance,hypc,0.010643339580138864
Complete Cohort,Random Forest Importance,hypothy,0.008887436816362062
Complete Cohort,Random Forest Importance,cevd,0.008160379043110741
Complete Cohort,Random Forest Importance,dementia,0.007160037965692666
Complete Cohort,Random Forest Importance,copd,0.006667080321980673
Complete Cohort,Random Forest Importance,carit,0.00520167339545253
Complete Cohort,Random Forest Importance,chf,0.005174145259079999
Complete Cohort,Random Forest Importance,rheumd,0.004843871491329188
Complete Cohort,Random Forest Importance,obes,0.004710353887887016
Complete Cohort,Random Forest Importance,rend,0.003939140497824147
Complete Cohort,Random Forest Importance,canc,0.003558116391249489
Complete Cohort,Random Forest Importance,Asian,0.0035156339385700413
Complete Cohort,Random Forest Importance,ond,0.0034346041564311636
Complete Cohort,Random Forest Importance,ACS_PCT_HH_BROADBAND_ONLY,0.0028935213167764315
Complete Cohort,Random Forest Importance,ACS_PCT_HH_SAT_INTERNET,0.0028886751390656373
Complete Cohort,Random Forest Importance,ACS_PCT_INC50_ABOVE65,0.00282917162983408
Complete Cohort,Random Forest Importance,ACS_PCT_GRANDP_NO_RESPS,0.0028140946481866225
Complete Cohort,Random Forest Importance,ACS_TOT_GRANDCHILDREN_GP,0.0027661737655674096
Complete Cohort,Random Forest Importance,ACS_PCT_VET_COLLEGE,0.0027630375928657273
Complete Cohort,Random Forest Importance,ACS_PCT_HH_OTHER_COMP,0.0027374337034537714
Complete Cohort,Random Forest Importance,ACS_PCT_GRANDP_RESPS_NO_P,0.0027348836221301825
Complete Cohort,Random Forest Importance,ACS_PCT_HH_CELLULAR_ONLY,0.002732545788714456
Complete Cohort,Random Forest Importance,ACS_PCT_GRANDP_RESPS_P,0.0026853790984975043
Complete Cohort,Random Forest Importance,ACS_PCT_NO_WORK_NO_SCHL_16_19,0.0026849983319039475
Complete Cohort,Random Forest Importance,ACS_PCT_POV_MULTI,0.002683912780670357
Complete Cohort,Random Forest Importance,ACS_PCT_POV_HISPANIC,0.0026710454052067127
Complete Cohort,Random Forest Importance,ACS_PCT_HH_INTERNET_NO_SUBS,0.002668482041002119
Complete Cohort,Random Forest Importance,ACS_PCT_HH_1PERS,0.0026611439362978534
Complete Cohort,Random Forest Importance,POP_RUR,0.002653359833900981
Complete Cohort,Random Forest Importance,ACS_PCT_VET_POV_18_64,0.0026263828710071744
Complete Cohort,Random Forest Importance,valv,0.0026226026002270295
Complete Cohort,Random Forest Importance,ACS_PCT_HH_TABLET_ONLY,0.0026214505807828047
Complete Cohort,Random Forest Importance,ACS_PCT_HH_ABOVE65,0.0025818587659388213
Complete Cohort,Random Forest Importance,ACS_PCT_COLLEGE_ASSOCIATE_DGR,0.002576005442234082
Complete Cohort,Random Forest Importance,ACS_PCT_CHILDREN_GRANDPARENT,0.0025618228159353584
Complete Cohort,Random Forest Importance,ACS_PCT_POV_OTHER,0.0025615127639523516
Complete Cohort,Random Forest Importance,ACS_PCT_POV_WHITE,0.002524823880667017
Complete Cohort,Random Forest Importance,ACS_PCT_HEALTH_INC_200_399,0.002523503521596085
Complete Cohort,Random Forest Importance,ACS_PCT_HH_DIAL_INTERNET_ONLY,0.0025196071851583957
Complete Cohort,Random Forest Importance,ACS_PCT_LT_HS,0.0025175416319265175
Complete Cohort,Random Forest Importance,ACS_PCT_CHILD_1FAM,0.002515097763329544
Complete Cohort,Random Forest Importance,ACS_PCT_HEALTH_INC_138_199,0.0025141249096607902
Complete Cohort,Random Forest Importance,ACS_PCT_HH_NO_FD_STMP_BLW_POV,0.0025106688909329227
Complete Cohort,Random Forest Importance,ACS_PCT_HH_BROADBAND,0.0025016333533522334
Complete Cohort,Random Forest Importance,ACS_PCT_HH_ALONE_ABOVE65,0.002501165592021952
Complete Cohort,Random Forest Importance,ACS_PCT_HH_PC_ONLY,0.002498688420365261
Complete Cohort,Random Forest Importance,ACS_PCT_GRADUATE_DGR,0.0024931398903441154
Complete Cohort,Random Forest Importance,ACS_TOT_POP_POV,0.0024789501251231464
Complete Cohort,Random Forest Importance,ACS_PCT_INC50,0.0024779027312081996
Complete Cohort,Random Forest Importance,ACS_PCT_PERSON_INC_100_124,0.0024740713690211825
Complete Cohort,Random Forest Importance,ACS_PCT_PERSON_INC_125_199,0.002468720969482937
Complete Cohort,Random Forest Importance,ACS_PCT_HH_CELLULAR,0.0024684401678389026
Complete Cohort,Random Forest Importance,ACS_PCT_HH_SMARTPHONE_ONLY,0.002457705352973281
Complete Cohort,Random Forest Importance,ACS_PCT_VET_HS,0.0024560970222284634
Complete Cohort,Random Forest Importance,ACS_PCT_HH_LIMIT_ENGLISH,0.0024535416431495658
Complete Cohort,Random Forest Importance,ACS_PCT_HH_1FAM_FOOD_STMP,0.002442925732183745
Complete Cohort,Random Forest Importance,ami,0.0024398326856240903
Complete Cohort,Random Forest Importance,ACS_PCT_VET_BACHELOR,0.0024364795333437048
Complete Cohort,Random Forest Importance,ACS_PCT_HH_KID_1PRNT,0.0023981538804470266
Complete Cohort,Random Forest Importance,ACS_PCT_POV_AIAN,0.0023776109471295424
Complete Cohort,Random Forest Importance,ACS_PCT_POV_BLACK,0.0023636762192833635
Complete Cohort,Random Forest Importance,ACS_PCT_HS_GRADUATE,0.0023568282841420697
Complete Cohort,Random Forest Importance,ACS_PCT_HH_TABLET,0.002321350363698363
Complete Cohort,Random Forest Importance,ACS_PCT_HH_FOOD_STMP_BLW_POV,0.0022967193474551
Complete Cohort,Random Forest Importance,ACS_PCT_HH_PUB_ASSIST,0.002287337674527346
Complete Cohort,Random Forest Importance,ACS_PCT_BACHELOR_DGR,0.0022536846366996628
Complete Cohort,Random Forest Importance,ACS_PCT_HH_NO_INTERNET,0.002236695639441876
Complete Cohort,Random Forest Importance,ACS_PCT_POSTHS_ED,0.002230124317455026
Complete Cohort,Random Forest Importance,ACS_PCT_HH_SMARTPHONE,0.00221138650815602
Complete Cohort,Random Forest Importance,ACS_PCT_HH_INTERNET,0.002206847419847821
Complete Cohort,Random Forest Importance,ACS_PCT_NONVET_POV_18_64,0.0022061909774114363
Complete Cohort,Random Forest Importance,ACS_PCT_PERSON_INC_BELOW99,0.0021914131242133394
Complete Cohort,Random Forest Importance,ACS_PCT_HH_NO_COMP_DEV,0.002184904268041764
Complete Cohort,Random Forest Importance,ACS_PCT_PERSON_INC_ABOVE200,0.002178079739294638
Complete Cohort,Random Forest Importance,ACS_PCT_HEALTH_INC_ABOVE400,0.0021423743325679465
Complete Cohort,Random Forest Importance,ACS_PCT_HEALTH_INC_BELOW137,0.0021325984824546013
Complete Cohort,Random Forest Importance,ACS_PCT_HH_PC,0.0020851084380801455
Complete Cohort,Random Forest Importance,ACS_PCT_POV_ASIAN,0.0020579838929888983
Complete Cohort,Random Forest Importance,dane,0.0019891148278592206
