Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,PR_AUC,0.4334167298779626,0.42070882893968536,0.4449576373126645,0.4334 (0.4207 - 0.4450)
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,F1_Score,0.46005041989504847,0.4510595571386654,0.46916691709740754,0.4601 (0.4511 - 0.4692)
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,Accuracy,0.7967463064690095,0.7920303760002007,0.8007637896004214,0.7967 (0.7920 - 0.8008)
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,Precision,0.37234919862295324,0.3629834155915132,0.3828325453959386,0.3723 (0.3630 - 0.3828)
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,Recall_Sensitivity,0.6018484731959352,0.5914268413246617,0.6119270341408402,0.6018 (0.5914 - 0.6119)
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,Specificity,0.8295011021445441,0.8250183135435097,0.8339388616348703,0.8295 (0.8250 - 0.8339)
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,Brier_Score,0.10112057029682976,0.0992507159468479,0.1030883173388815,0.1011 (0.0993 - 0.1031)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,ROC_AUC,0.8073014100845174,0.8013643909801232,0.8119613609737426,0.8073 (0.8014 - 0.8120)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,PR_AUC,0.4294694544407828,0.4152710944445808,0.44228437821664857,0.4295 (0.4153 - 0.4423)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,F1_Score,0.45298436828932226,0.44348709665582026,0.46301342990331584,0.4530 (0.4435 - 0.4630)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,Accuracy,0.8028674091353751,0.7985025208819324,0.807192038528106,0.8029 (0.7985 - 0.8072)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,Precision,0.37701878847956194,0.36670007346674705,0.3876158345152975,0.3770 (0.3667 - 0.3876)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,Recall_Sensitivity,0.5673360712094166,0.555671529627763,0.579146998015196,0.5673 (0.5557 - 0.5791)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,Specificity,0.8424506749956455,0.8381259427106176,0.8463142267521946,0.8425 (0.8381 - 0.8463)
Nationwide Cohort - Rural,Rural,199331,2570,CatBoost,Brier_Score,0.1016104783413029,0.0997223190043473,0.10364686530080348,0.1016 (0.0997 - 0.1036)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,ROC_AUC,0.7716621322832842,0.7655963048061395,0.7773991992831358,0.7717 (0.7656 - 0.7774)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,PR_AUC,0.3759576402915006,0.3627371867835664,0.388790006430473,0.3760 (0.3627 - 0.3888)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,F1_Score,0.41790031860996535,0.4087120739288186,0.42710562697197646,0.4179 (0.4087 - 0.4271)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,Accuracy,0.759680562871548,0.7553540522236436,0.764569067148268,0.7597 (0.7554 - 0.7646)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,Precision,0.3207287190589402,0.31299432602050475,0.3308781698890298,0.3207 (0.3130 - 0.3309)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,Recall_Sensitivity,0.5996022281819536,0.5869175006055953,0.6125365521807038,0.5996 (0.5869 - 0.6125)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,Specificity,0.7865826196357966,0.7825200652633658,0.7914384966309421,0.7866 (0.7825 - 0.7914)
Nationwide Cohort - Rural,Rural,199331,2570,Random Forest,Brier_Score,0.11169608587687857,0.10966053217988274,0.11399361680153239,0.1117 (0.1097 - 0.1140)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,ROC_AUC,0.770297104567866,0.763616430161691,0.7759191732159488,0.7703 (0.7636 - 0.7759)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,PR_AUC,0.3625125070982541,0.3500693251094531,0.37534397383001183,0.3625 (0.3501 - 0.3753)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,F1_Score,0.41264521362374096,0.403002394442571,0.42362947846239735,0.4126 (0.4030 - 0.4236)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,Accuracy,0.776259186796097,0.7719053352396719,0.7810049665136579,0.7763 (0.7719 - 0.7810)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,Precision,0.3315575666737325,0.322225540634568,0.3404823354444467,0.3316 (0.3222 - 0.3405)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,Recall_Sensitivity,0.5462843557386582,0.5349950280518683,0.5601581308317112,0.5463 (0.5350 - 0.5602)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,Specificity,0.8149080141494011,0.8106702107412758,0.8196778646030349,0.8149 (0.8107 - 0.8197)
Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting,Brier_Score,0.11026403621611106,0.10819711929019567,0.11241881521561879,0.1103 (0.1082 - 0.1124)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,ROC_AUC,0.7835958218401652,0.7778992165334039,0.789000536512139,0.7836 (0.7779 - 0.7890)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,PR_AUC,0.3966683889222645,0.3835638840762007,0.41012500817116876,0.3967 (0.3836 - 0.4101)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,F1_Score,0.4304977497478586,0.4191198191408576,0.44124577303892426,0.4305 (0.4191 - 0.4412)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,Accuracy,0.7989729600923069,0.7950159279604685,0.8026945844934407,0.7990 (0.7950 - 0.8027)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,Precision,0.36335862552878057,0.35273092496394226,0.37249032231212004,0.3634 (0.3527 - 0.3725)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,Recall_Sensitivity,0.5281238692870569,0.515643869487234,0.5419315961425331,0.5281 (0.5156 - 0.5419)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,Specificity,0.844491378593618,0.8408362424077024,0.8483848460078526,0.8445 (0.8408 - 0.8484)
Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression,Brier_Score,0.10545938857705149,0.10331321238929472,0.10762069553773206,0.1055 (0.1033 - 0.1076)
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,ROC_AUC,0.8159666939764392,0.8100306638875752,0.8202882757700177,0.8160 (0.8100 - 0.8203)
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,PR_AUC,0.43711359181352194,0.4230834772930021,0.44971608392554957,0.4371 (0.4231 - 0.4497)
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,F1_Score,0.45973775579045173,0.4492009680883645,0.46907890687353926,0.4597 (0.4492 - 0.4691)
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,Accuracy,0.7932842952818122,0.7887651441041463,0.7965341008854441,0.7933 (0.7888 - 0.7965)
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,Precision,0.3684071540267692,0.35832017164431706,0.37810711906563016,0.3684 (0.3583 - 0.3781)
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,Recall_Sensitivity,0.6113325240558013,0.6005151948623277,0.6221190393036469,0.6113 (0.6005 - 0.6221)
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,Specificity,0.8238629982688269,0.8190037374497867,0.8278385239129648,0.8239 (0.8190 - 0.8278)
