Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Setting,Cohort Size,Num Features,Model
0.16813759619604063,0.7713797770352174,0.37549991517952297,0.41759309883968165,0.7595254220282439,0.3204064510114664,0.5994070456923614,0.7864236955439018,0.11167489235376954,3437,26843,7290,2297,Nationwide Cohort - Rural,Rural,199331,2570,Random Forest
0.18180919936763856,0.7699853619447616,0.3617337237739804,0.41214036473763904,0.7760303007499937,0.331041776837652,0.545866759679107,0.8146954560103126,0.11025640311782982,3130,27808,6325,2604,Nationwide Cohort - Rural,Rural,199331,2570,Gradient Boosting
0.21731493078340805,0.7835336997212254,0.39613397997136235,0.4304193319118692,0.7989816138661048,0.3632437619961612,0.5280781304499477,0.844490668854188,0.10546263741830167,3028,28825,5308,2706,Nationwide Cohort - Rural,Rural,199331,2570,Logistic Regression
0.2682979806900499,0.8158162435866732,0.43672745983030575,0.45921846315237347,0.7931120977249354,0.36793444000840514,0.6107429368678061,0.823748278791785,0.1030288485151855,3502,28117,6016,2232,Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble
0.6486769710551255,0.8223730863281979,0.462142940769732,0.4772611139499234,0.8199260693539869,0.4237749546279492,0.5461988304093567,0.868421052631579,0.16331712841272156,467,4191,635,388,Texas Cohort - Urban,Urban,28401,720,LightGBM
0.23377926647663116,0.8253313557411972,0.4622153226325701,0.47909090909090907,0.7982749515930294,0.39182156133828994,0.6163742690058479,0.8305014504765852,0.10242593609152059,527,4008,818,328,Texas Cohort - Urban,Urban,28401,720,XGBoost
0.23267908509746074,0.8165822070025179,0.4464336434901858,0.47274436090225563,0.8024995599366309,0.39512961508248234,0.5883040935672514,0.8404475756319933,0.1040750428214481,503,4056,770,352,Texas Cohort - Urban,Urban,28401,720,CatBoost
0.17940787169173308,0.7841862911180424,0.3907662952786307,0.43734643734643736,0.7581411723288154,0.33648393194706994,0.624561403508772,0.7818068794032325,0.11210265119637824,534,3773,1053,321,Texas Cohort - Urban,Urban,28401,720,Random Forest
0.16228997104110354,0.7989159596047724,0.39476668746233556,0.4496124031007752,0.7375462066537581,0.3284789644012945,0.712280701754386,0.7420223787815997,0.1096738336338192,609,3581,1245,246,Texas Cohort - Urban,Urban,28401,720,Gradient Boosting
0.22953251065685962,0.7867123257792221,0.4093494313774841,0.4387706855791962,0.7910579123393768,0.3682539682539683,0.5426900584795321,0.8350600911728139,0.1099266513414852,464,4030,796,391,Texas Cohort - Urban,Urban,28401,720,Logistic Regression
0.26141161759703335,0.8233910858095647,0.4514618010268545,0.47517123287671237,0.7841929237810245,0.37474679270763,0.6491228070175439,0.8081226688769167,0.10446094885628605,555,3900,926,300,Texas Cohort - Urban,Urban,28401,720,Weighted Ensemble
0.5616444130913426,0.8200744683045568,0.4658442222118368,0.48622167789344767,0.7684239580458184,0.37417530631479734,0.6940559440559441,0.7823664372336939,0.16366315956976585,397,2387,664,175,Texas Cohort - Rural,Rural,18114,720,LightGBM
0.22229668498039246,0.8207855729979624,0.4605927975983133,0.4852941176470588,0.768147943693072,0.37358490566037733,0.6923076923076923,0.7823664372336939,0.10688026660249267,396,2387,664,176,Texas Cohort - Rural,Rural,18114,720,XGBoost
0.22787852033758854,0.819223549312045,0.4694549280729955,0.4877102199223804,0.7813966326248964,0.3870636550308008,0.6590909090909091,0.8043264503441495,0.10690922533501579,377,2454,597,195,Texas Cohort - Rural,Rural,18114,720,CatBoost
0.22127947348592372,0.7918898538367565,0.41019782595838167,0.4709480122324159,0.8089980678995308,0.41847826086956524,0.5384615384615384,0.8597181252048509,0.11518077923177877,308,2623,428,264,Texas Cohort - Rural,Rural,18114,720,Random Forest
