Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G0_Other,1.0000001034364934
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G1_Other,1.0000001034364934
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_157,1.0000001033830672
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_113,1.0000001033830672
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_York,1.0000001021606744
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Cook,1.0000001008808748
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G0,1.0000000989185718
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2AHLS,1.0000000979790573
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_32,1.0000000979790573
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Hernando,1.0000000979790573
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Randolph,1.0000000979790573
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_49,1.0000000979790573
Complete Cohort,135723,2073,Variance Threshold,fed,1.0000000977416084
Complete Cohort,135723,2073,Variance Threshold,ByDiscipline_RN,1.0000000969387464
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_19_1,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_119,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_417,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Hall,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_73,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2CHLT,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_3,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_3,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_73,1.000000096313199
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Santa_Fe,1.0000000963097333
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Loudon,1.000000096309733
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2CFKW,1.0000000963097326
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Lake,1.0000000960515307
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1BGKT,1.0000000959153648
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1BHPT,1.0000000950042573
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G1_3_1,1.0000000946540342
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Onondaga,1.0000000940228435
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2BGKT,1.0000000940228433
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_41,1.0000000937390785
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_120,1.0000000937390785
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Bell,1.0000000937390785
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_18_1,1.0000000937390783
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_San_Francisco,1.0000000936928761
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_10,1.000000093346453
Complete Cohort,135723,2073,Variance Threshold,hypothy,1.00000009256941
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Carson_City,1.0000000925005377
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_23,1.0000000925005375
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_24_1,1.0000000925005375
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Garland,1.0000000925005375
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_65,1.0000000925005375
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_23_1,1.0000000925005375
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2CHMT,1.0000000925005375
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G1_23,1.0000000925005375
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_35,1.0000000925005372
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_49,1.0000000925005372
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G0,1.0000000913085658
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_2,1.00000009095512
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Gaston,1.0000000905485136
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_9_1,1.0000000905485134
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G0_9,1.0000000905485134
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_9_1,1.0000000905485134
Complete Cohort,135723,2073,Variance Threshold,valv,1.0000000901668116
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G1_1,1.0000000899543704
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_10,1.0000000896520613
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Putnam,1.0000000888850502
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Santa_Rosa,1.0000000888850502
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_57,1.00000008888505
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2CGLT,1.00000008888505
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_41,1.0000000888850498
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2AGKS,1.000000088352322
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_29,1.000000088352322
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G1_29,1.000000088352322
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_29,1.000000088352322
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CFKU,1.0000000880340612
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CGNT,1.0000000872701176
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_33,1.0000000872701176
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_10,1.0000000870869699
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_65,1.0000000868317809
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Monroe,1.0000000868317807
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G1_2,1.0000000867639085
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_5,1.000000084999744
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_5_1,1.000000084999744
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_31,1.0000000844503845
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_31,1.0000000844503845
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_31,1.0000000844503845
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_1_1,1.0000000844427235
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_1_1,1.0000000844427235
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Jackson,1.0000000840251015
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Maricopa,1.0000000835925915
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G0_2,1.000000083435474
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Oswego,1.0000000833834204
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_15_1,1.0000000832418379
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G1_6,1.0000000830190525
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_37,1.0000000827635274
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_64,1.0000000827343294
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_23,1.0000000825371274
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_23,1.0000000825371274
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_23_1,1.0000000825371274
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Linn,1.0000000825371271
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_Other,1.0000000825371271
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_27_1,1.0000000819222115
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Shelby,1.0000000819222112
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_10,1.0000000817639414
Complete Cohort,135723,2073,Variance Threshold,hypc,1.0000000811226424
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_37,1.0000000805462375
