Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_9,1.0000000504606237
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_29,1.0000000503034143
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_32,1.0000000503034143
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_32,1.0000000503034143
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_29,1.0000000503034143
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G1_29,1.0000000503034143
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_12,1.0000000503034143
Complete Cohort,62449,754,Variance Threshold,carit,1.0000000488161773
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_5AGKS,1.000000048752799
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G0_1,1.000000048253843
Complete Cohort,62449,754,Variance Threshold,Facility_Internal_ID_freq,1.000000048215464
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_GRADUATE_DGR,1.0000000476742228
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Henderson,1.0000000475073092
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CFKS,1.0000000475073092
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Collin,1.0000000474524375
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G0,1.0000000471172348
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_POV_BLACK,1.0000000470057266
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_11,1.0000000461900145
Complete Cohort,62449,754,Variance Threshold,dementia,1.0000000444826906
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_HH_CELLULAR_ONLY,1.0000000442737502
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_HH_DIAL_INTERNET_ONLY,1.0000000441932348
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_2AFLS,1.0000000441285848
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_11_1,1.0000000439888697
Complete Cohort,62449,754,Variance Threshold,charlson_score,1.0000000437395298
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Smith,1.0000000435814969
